ID_Carga,Placa_Caminhao,Estufa_Origem,UF_Destino,Qtd_Orquideas,Status_Entrega
LOG-1000,TX-103,EST-3,SP,457,Entregue
LOG-1001,TX-100,EST-1,SC,165,Entregue
LOG-1002,TX-108,EST-2,MG,124,Entregue
LOG-1003,TX-107,EST-1,RJ,162,Entregue
LOG-1004,TX-107,EST-2,SP,469,Entregue
LOG-1005,TX-104,EST-3,SP,471,Entregue
LOG-1006,TX-103,EST-1,SP,153,Entregue
LOG-1007,TX-102,EST-3,PR,389,Entregue
LOG-1008,TX-113,EST-1,MG,303,Entregue
LOG-1009,TX-101,EST-2,MG,276,Cancelado
LOG-1010,TX-100,EST-3,SP,161,Entregue
LOG-1011,TX-102,EST-1,SC,148,Entregue
LOG-1012,TX-106,EST-2,PR,202,Entregue
LOG-1013,TX-107,EST-3,SP,398,Entregue
LOG-1014,TX-100,EST-3,SP,451,Entregue
LOG-1015,TX-106,EST-1,SP,433,Entregue
LOG-1016,TX-113,EST-1,SP,415,Atrasado
LOG-1017,TX-107,EST-1,RJ,387,Entregue
LOG-1018,TX-114,EST-2,RJ,243,Entregue
LOG-1019,TX-108,EST-1,SP,359,Entregue
LOG-1020,TX-100,EST-3,MG,212,Entregue
LOG-1021,TX-105,EST-3,SP,257,Atrasado
LOG-1022,TX-113,EST-1,SP,494,Entregue
LOG-1023,TX-110,EST-1,SP,218,Entregue
LOG-1024,TX-108,EST-3,RJ,210,Entregue
LOG-1025,TX-104,EST-2,PR,117,Entregue
LOG-1026,TX-106,EST-1,SP,338,Entregue
LOG-1027,TX-110,EST-1,RJ,447,Entregue
LOG-1028,TX-103,EST-3,RJ,326,Entregue
LOG-1029,TX-102,EST-1,SP,353,Entregue
LOG-1030,TX-112,EST-2,MG,453,Entregue
LOG-1031,TX-103,EST-3,SP,433,Entregue
LOG-1032,TX-111,EST-1,SP,441,Entregue
LOG-1033,TX-111,EST-3,SC,184,Entregue
LOG-1034,TX-108,EST-1,SC,244,Entregue
LOG-1035,TX-101,EST-1,PR,450,Entregue
LOG-1036,TX-114,EST-1,SP,177,Atrasado
